25/04/20 16:29:16.386 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:29:16.386 [1995872416] TRACE parScreenLog - part: [0, 3383945
25/04/20 16:29:17.452 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:29:17.452 [1995872416] TRACE parScreenLog - part: [0, 3383945
25/04/20 16:29:18.504 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:29:18.504 [1995872416] TRACE parScreenLog - part: [0, 3383945
25/04/20 16:29:19.556 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:29:19.556 [1995872416] TRACE parScreenLog - part: [0, 3383945
25/04/20 16:29:20.609 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:29:20.610 [1995872416] TRACE parScreenLog - part: [0, 3383945
25/04/20 16:29:21.660 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:29:21.660 [1995872416] TRACE parScreenLog - part: [0, 3383945
25/04/20 16:31:12.350 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:12.351 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:13.401 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:13.401 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:14.444 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:14.444 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:15.487 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:15.487 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:16.538 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:16.538 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:17.582 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:17.582 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:18.628 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:18.629 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:19.681 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:19.681 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:20.732 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:20.732 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:21.783 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:21.787 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:22.866 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:22.866 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:23.934 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:23.935 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:24.997 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:24.997 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:26.055 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:26.055 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:27.105 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:27.105 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:28.159 [1995872416] DEBUG parScreenLog - Missing parts 1
25/04/20 16:31:28.160 [1995872416] TRACE parScreenLog - part: [0, 3153394
25/04/20 16:31:29.328 [1995872416] DEBUG parScreenLog - Missing parts 1
